title,category,additional_categories,address,city,zip,region,phone,url,domain,rating_value,rating_votes,cid,latitude,longitude,is_claimed
ITouch Day Spa Oro Valley,Nail salon,"Beauty salon, Spa",1335 W Lambert Ln,Oro Valley,85737,Arizona,+1520-214-7979,,,4.1,79,10081167160045870857,32.395,-110.994,True
AZ Elite Aesthetics,Spa,,1011 N Craycroft Rd # 304,Tucson,85711,Arizona,+1520-405-3887,https://www.azeliteaesthetics.com/aboutus,www.azeliteaesthetics.com,,,10148631063122183576,32.235,-110.876,
Lucky Spa Nail,Nail salon,Spa,2740 N Campbell Ave,Tucson,85719,Arizona,+1520-300-4166,,,3,4,10186769332751599028,32.257,-110.944,
Massage Envy,Massage spa,"Aromatherapy service, Day spa, Esthetics service, Facial spa, Massage therapist, Reflexologist, Skin care clinic, Spa, Sports massage therapist",4749 E Sunrise Dr Suite #103,Tucson,85718,Arizona,+1520-777-9183,https://locations.massageenvy.com/arizona/tucson/4749-e-sunrise-dr.html?utm_source=GMB&utm_medium=useractions&utm_campaign=website,locations.massageenvy.com,4.8,471,10189995928735783153,32.31,-110.891,True
ABC Massage,Massage therapist,"Massage spa, Spa",1106 S Wilmot Rd,Tucson,85711,Arizona,+1929-708-8356,https://www.asianmassagebook.com/shop?shopId=2735,www.asianmassagebook.com,4.3,9,10254766475106079359,32.208,-110.858,True
SkinCare Bae,Spa,,5460 E Broadway Blvd #324,Tucson,85711,Arizona,+1520-310-1997,https://skincarebae.glossgenius.com/,skincarebae.glossgenius.com,5,5,10347103398684152944,32.221,-110.876,True
Beauty Republic Salon,Spa,,1830 E Spring St,Tucson,85719,Arizona,+1520-329-3777,https://www.beautyrepulicaz.com/,www.beautyrepulicaz.com,5,45,10396703616872780331,32.251,-110.945,True
Lemon spa,Spa,,105 N Pantano Rd,Tucson,85710,Arizona,+1505-392-8905,,,5,6,10589531239763007875,32.223,-110.824,True
SPA MASSAGE,Spa,,105 N Pantano Rd,Tucson,85710,Arizona,+1626-361-2388,,,5,7,10679764763132347245,32.223,-110.824,True
Mokara Salon & Spa,Spa,,2727 W Club Dr,Tucson,85742,Arizona,+1520-877-2367,https://www.omnihotels.com/hotels/tucson-national/spa?utm_source=gmblisting&utm_medium=organic,www.omnihotels.com,3.7,3,10933560186465009863,32.358,-111.025,True
HealthySkin Medical & Cosmetic Dermatology,Dermatologist,,18865 South La Cañada Drive,Green Valley,85614,Arizona,+1520-293-5757,https://www.hsdermatology.com/,www.hsdermatology.com,4.7,123,11139530676686730250,31.908,-110.994,True
HealthySkin Medical & Cosmetic Dermatology,Skin care clinic,"Facial spa, Laser hair removal service, Medical spa",8290 S Houghton Rd,Tucson,85747,Arizona,+1520-293-5757,https://www.hsdermatology.com/,www.hsdermatology.com,4.7,143,12429870447389794305,32.101,-110.774,
HealthySkin Medical & Cosmetic Dermatology (Central Office),Dermatologist,,5190 E Farness Dr Ste 110,Tucson,85712,Arizona,+1520-327-4442,https://www.hsdermatology.com/,www.hsdermatology.com,4.5,70,1375704981128992426,32.247,-110.883,True
Profiles Cosmetic Surgery Center,Plastic surgeon,,4741 E Camp Lowell Dr,Tucson,85712,Arizona,+1520-888-4540,,,2.5,6,15331768414662850404,32.268,-110.891,
